Model Name / Instruction Number,1,2,3,4,5,6,7,8,9,10,avg score
TheBloke/Orca-2-13B-AWQ,1,5,5,5,5,4,4,5,4,5,4.3
microsoft/Orca-2-7b,1,1,5,4,5,3,5,2,1,5,3.2
01-ai/Yi-6B,1,4,1,1,1,4,1,1,1,1,1.6
WizardLM/WizardLM-13B-V1.1,5,5,5,5,5,5,5,5,5,5,5.0
TheBloke/WizardLM-7B-V1.0-Uncensored-GPTQ,2,5,4,4,3,5,3,5,4,5,4.0
TheBloke/llava-v1.5-13B-AWQ,3,5,5,3,5,5,4,1,5,4,4.0
TheBloke/vicuna-7B-v1.5-GPTQ,1,4,5,4,1,5,5,1,5,4,3.5
TheBloke/tulu-2-dpo-13B-AWQ,5,4,5,5,4,5,5,2,4,5,4.4
timdettmers/guanaco-7b,1,4,5,4,1,5,4,4,5,5,3.8
TheBloke/guanaco-13B-GPTQ,2,4,5,4,1,5,5,1,1,4,3.2
